"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","test_part","pair","pair_validity","trial_validity","pair_trials_per_block","pair_best_choice","reward_type","correct_response","stim_left","stim_right","stim_best_choice","subjectkey","src_subject_id","site","interview_date","interview_age","sex","trial","block","accuracy","stim_feedback","stim_set","reward_set","reward_tally"
"null","<img style='border: 5px solid #808080;' src='stim/a/Field9.bmp'><img style='width:150px; height:150px; padding-right: 50px; padding-left: 50px; margin-bottom: 50px;' src='stim/keep_money.png'><img style='border: 5px solid #ffffff;  padding-left:15px;' src='stim/a/Field12.bmp'>","null","html-keyboard-response","14","14826","0.0-0.0-2.4","","","","","","","","","","","","","","","","","","","","","","","",""
"null","<img style='width:200px; height:200px; margin-left: 95px; margin-right: 95px;' src='stim/fixation.png'>","null","html-keyboard-response","15","15832","0.0-0.0-0.5","","","","","","","","","","","","","","","","","","","","","","","",""
"809.0000003576279","<img src='stim/a/Field3.bmp'><img style='width:200px; height:200px; margin-bottom: 0px;' src='stim/fixation.png'><img src='stim/a/Field5.bmp'>","49","html-keyboard-response","16","16648","0.0-0.0-1.5","training","ab","0.9","valid","10","a","win:stay","49","Field3.bmp","Field5.bmp","Field3.bmp","GUID","0","00","10/09/2020","","","6","1","1","winwin.bmp","A","money","1"
"null","<img style='border: 5px solid #808080;' src='stim/a/Field3.bmp'><img style='width:150px; height:150px; padding-right: 50px; padding-left: 50px; margin-bottom: 50px;' src='stim/winwin.bmp'><img style='border: 5px solid #ffffff;  padding-left:15px;' src='stim/a/Field5.bmp'>","null","html-keyboard-response","17","17654","0.0-0.0-2.5","","","","","","","","","","","","","","","","","","","","","","","",""
"null","<img style='width:200px; height:200px; margin-left: 95px; margin-right: 95px;' src='stim/fixation.png'>","null","html-keyboard-response","18","18660","0.0-0.0-0.6","","","","","","","","","","","","","","","","","","","","","","","",""
"836.9999998249114","<img src='stim/a/Field14.bmp'><img style='width:200px; height:200px; margin-bottom: 0px;' src='stim/fixation.png'><img src='stim/a/Field11.bmp'>","49","html-keyboard-response","19","19503","0.0-0.0-1.6","training","cd","0.8","valid","10","c","win:stay","49","Field14.bmp","Field11.bmp","Field14.bmp","GUID","0","00","10/09/2020","","","7","1","1","winwin.bmp","A","money","2"
"null","<img style='border: 5px solid #808080;' src='stim/a/Field14.bmp'><img style='width:150px; height:150px; padding-right: 50px; padding-left: 50px; margin-bottom: 50px;' src='stim/winwin.bmp'><img style='border: 5px solid #ffffff;  padding-left:15px;' src='stim/a/Field11.bmp'>","null","html-keyboard-response","20","20511","0.0-0.0-2.6","","","","","","","","","","","","","","","","","","","","","","","",""
"null","<img style='width:200px; height:200px; margin-left: 95px; margin-right: 95px;' src='stim/fixation.png'>","null","html-keyboard-response","21","21514","0.0-0.0-0.7","","","","","","","","","","","","","","","","","","","","","","","",""
"1482.000000309199","<img src='stim/a/Field15.bmp'><img style='width:200px; height:200px; margin-bottom: 0px;' src='stim/fixation.png'><img src='stim/a/Field16.bmp'>","49","html-keyboard-response","22","23001","0.0-0.0-1.7","training","gh","0.8","valid","10","g","avoid:lose","49","Field15.bmp","Field16.bmp","Field15.bmp","GUID","0","00","10/09/2020","","","8","1","1","keep_money.png","A","money","2"
"null","<img style='border: 5px solid #808080;' src='stim/a/Field15.bmp'><img style='width:150px; height:150px; padding-right: 50px; padding-left: 50px; margin-bottom: 50px;' src='stim/keep_money.png'><img style='border: 5px solid #ffffff;  padding-left:15px;' src='stim/a/Field16.bmp'>","null","html-keyboard-response","23","24005","0.0-0.0-2.7","","","","","","","","","","","","","","","","","","","","","","","",""
"null","<img style='width:200px; height:200px; margin-left: 95px; margin-right: 95px;' src='stim/fixation.png'>","null","html-keyboard-response","24","25011","0.0-0.0-0.8","","","","","","","","","","","","","","","","","","","","","","","",""
"902.0000002346933","<img src='stim/a/Field3.bmp'><img style='width:200px; height:200px; margin-bottom: 0px;' src='stim/fixation.png'><img src='stim/a/Field5.bmp'>","49","html-keyboard-response","25","25918","0.0-0.0-1.8","training","ab","0.9","valid","10","a","win:stay","49","Field3.bmp","Field5.bmp","Field3.bmp","GUID","0","00","10/09/2020","","","9","1","1","winwin.bmp","A","money","3"
"null","<img style='border: 5px solid #808080;' src='stim/a/Field3.bmp'><img style='width:150px; height:150px; padding-right: 50px; padding-left: 50px; margin-bottom: 50px;' src='stim/winwin.bmp'><img style='border: 5px solid #ffffff;  padding-left:15px;' src='stim/a/Field5.bmp'>","null","html-keyboard-response","26","26923","0.0-0.0-2.8","","","","","","","","","","","","","","","","","","","","","","","",""
"null","<img style='width:200px; height:200px; margin-left: 95px; margin-right: 95px;' src='stim/fixation.png'>","null","html-keyboard-response","27","27928","0.0-0.0-0.9","","","","","","","","","","","","","","","","","","","","","","","",""
"2743.0000002495944","<img src='stim/a/Field11.bmp'><img style='width:200px; height:200px; margin-bottom: 0px;' src='stim/fixation.png'><img src='stim/a/Field14.bmp'>","48","html-keyboard-response","28","30711","0.0-0.0-1.9","training","cd","0.8","valid","10","c","win:stay","48","Field11.bmp","Field14.bmp","Field14.bmp","GUID","0","00","10/09/2020","","","10","1","1","winwin.bmp","A","money","4"
"null","<img style='border: 5px solid #ffffff; padding-right:15px;' src='stim/a/Field11.bmp'><img style='width:150px; height:150px; padding-right: 50px; padding-left: 50px; margin-bottom: 50px;' src='stim/winwin.bmp'><img style='border: 5px solid #808080;'src='stim/a/Field14.bmp'>","null","html-keyboard-response","29","31715","0.0-0.0-2.9","","","","","","","","","","","","","","","","","","","","","","","",""
"null","<img style='width:200px; height:200px; margin-left: 95px; margin-right: 95px;' src='stim/fixation.png'>","null","html-keyboard-response","30","32719","0.0-0.0-0.10","","","","","","","","","","","","","","","","","","","","","","","",""
"1103.0000001192093","<img src='stim/a/Field16.bmp'><img style='width:200px; height:200px; margin-bottom: 0px;' src='stim/fixation.png'><img src='stim/a/Field15.bmp'>","48","html-keyboard-response","31","33836","0.0-0.0-1.10","training","gh","0.8","valid","10","g","avoid:lose","48","Field15.bmp","Field16.bmp","Field15.bmp","GUID","0","00","10/09/2020","","","11","1","1","keep_money.png","A","money","4"
"null","<img style='border: 5px solid #ffffff; padding-right:15px;' src='stim/a/Field16.bmp'><img style='width:150px; height:150px; padding-right: 50px; padding-left: 50px; margin-bottom: 50px;' src='stim/keep_money.png'><img style='border: 5px solid #808080;'src='stim/a/Field15.bmp'>","null","html-keyboard-response","32","34843","0.0-0.0-2.10","","","","","","","","","","","","","","","","","","","","","","","",""
"null","<img style='width:200px; height:200px; margin-left: 95px; margin-right: 95px;' src='stim/fixation.png'>","null","html-keyboard-response","33","35847","0.0-0.0-0.11","","","","","","","","","","","","","","","","","","","","","","","",""
"1169.9999999254942","<img src='stim/a/Field12.bmp'><img style='width:200px; height:200px; margin-bottom: 0px;' src='stim/fixation.png'><img src='stim/a/Field9.bmp'>","48","html-keyboard-response","34","37021","0.0-0.0-1.11","training","ef","0.9","valid","10","e","avoid:lose","48","Field12.bmp","Field9.bmp","Field9.bmp","GUID","0","00","10/09/2020","","","12","1","1","keep_money.png","A","money","4"
"null","<img style='border: 5px solid #ffffff; padding-right:15px;' src='stim/a/Field12.bmp'><img style='width:150px; height:150px; padding-right: 50px; padding-left: 50px; margin-bottom: 50px;' src='stim/keep_money.png'><img style='border: 5px solid #808080;'src='stim/a/Field9.bmp'>","null","html-keyboard-response","35","38029","0.0-0.0-2.11","","","","","","","","","","","","","","","","","","","","","","","",""
"null","<img style='width:200px; height:200px; margin-left: 95px; margin-right: 95px;' src='stim/fixation.png'>","null","html-keyboard-response","36","39033","0.0-0.0-0.12","","","","","","","","","","","","","","","","","","","","","","","",""
"2049.000000115484","<img src='stim/a/Field15.bmp'><img style='width:200px; height:200px; margin-bottom: 0px;' src='stim/fixation.png'><img src='stim/a/Field16.bmp'>","48","html-keyboard-response","37","41092","0.0-0.0-1.12","training","gh","0.8","invalid","10","g","avoid:lose","49","Field15.bmp","Field16.bmp","Field15.bmp","GUID","0","00","10/09/2020","","","13","1","0","keep_money.png","A","money","4"
"null","<img style='border: 5px solid #ffffff; padding-right:15px;' src='stim/a/Field15.bmp'><img style='width:150px; height:150px; padding-right: 50px; padding-left: 50px; margin-bottom: 50px;' src='stim/keep_money.png'><img style='border: 5px solid #808080;'src='stim/a/Field16.bmp'>","null","html-keyboard-response","38","42096","0.0-0.0-2.12","","","","","","","","","","","","","","","","","","","","","","","",""
"null","<img style='width:200px; height:200px; margin-left: 95px; margin-right: 95px;' src='stim/fixation.png'>","null","html-keyboard-response","39","43100","0.0-0.0-0.13","","","","","","","","","","","","","","","","","","","","","","","",""
"880.0000003539026","<img src='stim/a/Field5.bmp'><img style='width:200px; height:200px; margin-bottom: 0px;' src='stim/fixation.png'><img src='stim/a/Field3.bmp'>","48","html-keyboard-response","40","43989","0.0-0.0-1.13","training","ab","0.9","valid","10","a","win:stay","48","Field5.bmp","Field3.bmp","Field3.bmp","GUID","0","00","10/09/2020","","","14","1","1","winwin.bmp","A","money","5"
"null","<img style='border: 5px solid #ffffff; padding-right:15px;' src='stim/a/Field5.bmp'><img style='width:150px; height:150px; padding-right: 50px; padding-left: 50px; margin-bottom: 50px;' src='stim/winwin.bmp'><img style='border: 5px solid #808080;'src='stim/a/Field3.bmp'>","null","html-keyboard-response","41","44992","0.0-0.0-2.13","","","","","","","","","","","","","","","","","","","","","","","",""
"null","<img style='width:200px; height:200px; margin-left: 95px; margin-right: 95px;' src='stim/fixation.png'>","null","html-keyboard-response","42","45994","0.0-0.0-0.14","","","","","","","","","","","","","","","","","","","","","","","",""
"848.000000230968","<img src='stim/a/Field11.bmp'><img style='width:200px; height:200px; margin-bottom: 0px;' src='stim/fixation.png'><img src='stim/a/Field14.bmp'>","48","html-keyboard-response","43","46844","0.0-0.0-1.14","training","cd","0.8","valid","10","c","win:stay","48","Field11.bmp","Field14.bmp","Field14.bmp","GUID","0","00","10/09/2020","","","15","1","1","winwin.bmp","A","money","6"
"null","<img style='border: 5px solid #ffffff; padding-right:15px;' src='stim/a/Field11.bmp'><img style='width:150px; height:150px; padding-right: 50px; padding-left: 50px; margin-bottom: 50px;' src='stim/winwin.bmp'><img style='border: 5px solid #808080;'src='stim/a/Field14.bmp'>","null","html-keyboard-response","44","47849","0.0-0.0-2.14","","","","","","","","","","","","","","","","","","","","","","","",""
"null","<img style='width:200px; height:200px; margin-left: 95px; margin-right: 95px;' src='stim/fixation.png'>","null","html-keyboard-response","45","48852","0.0-0.0-0.15","","","","","","","","","","","","","","","","","","","","","","","",""
"817.9999999701977","<img src='stim/a/Field12.bmp'><img style='width:200px; height:200px; margin-bottom: 0px;' src='stim/fixation.png'><img src='stim/a/Field9.bmp'>","48","html-keyboard-response","46","49676","0.0-0.0-1.15","training","ef","0.9","valid","10","e","avoid:lose","48","Field12.bmp","Field9.bmp","Field9.bmp","GUID","0","00","10/09/2020","","","16","1","1","keep_money.png","A","money","6"
"null","<img style='border: 5px solid #ffffff; padding-right:15px;' src='stim/a/Field12.bmp'><img style='width:150px; height:150px; padding-right: 50px; padding-left: 50px; margin-bottom: 50px;' src='stim/keep_money.png'><img style='border: 5px solid #808080;'src='stim/a/Field9.bmp'>","null","html-keyboard-response","47","50681","0.0-0.0-2.15","","","","","","","","","","","","","","","","","","","","","","","",""
"null","<img style='width:200px; height:200px; margin-left: 95px; margin-right: 95px;' src='stim/fixation.png'>","null","html-keyboard-response","48","51693","0.0-0.0-0.16","","","","","","","","","","","","","","","","","","","","","","","",""
"1216.0000000149012","<img src='stim/a/Field3.bmp'><img style='width:200px; height:200px; margin-bottom: 0px;' src='stim/fixation.png'><img src='stim/a/Field5.bmp'>","49","html-keyboard-response","49","52931","0.0-0.0-1.16","training","ab","0.9","valid","10","a","win:stay","49","Field3.bmp","Field5.bmp","Field3.bmp","GUID","0","00","10/09/2020","","","17","1","1","winwin.bmp","A","money","7"
"null","<img style='border: 5px solid #808080;' src='stim/a/Field3.bmp'><img style='width:150px; height:150px; padding-right: 50px; padding-left: 50px; margin-bottom: 50px;' src='stim/winwin.bmp'><img style='border: 5px solid #ffffff;  padding-left:15px;' src='stim/a/Field5.bmp'>","null","html-keyboard-response","50","53958","0.0-0.0-2.16","","","","","","","","","","","","","","","","","","","","","","","",""
"null","<img style='width:200px; height:200px; margin-left: 95px; margin-right: 95px;' src='stim/fixation.png'>","null","html-keyboard-response","51","54966","0.0-0.0-0.17","","","","","","","","","","","","","","","","","","","","","","","",""
"1180.9999998658895","<img src='stim/a/Field14.bmp'><img style='width:200px; height:200px; margin-bottom: 0px;' src='stim/fixation.png'><img src='stim/a/Field11.bmp'>","49","html-keyboard-response","52","56154","0.0-0.0-1.17","training","cd","0.8","valid","10","c","win:stay","49","Field14.bmp","Field11.bmp","Field14.bmp","GUID","0","00","10/09/2020","","","18","1","1","winwin.bmp","A","money","8"
"null","<img style='border: 5px solid #808080;' src='stim/a/Field14.bmp'><img style='width:150px; height:150px; padding-right: 50px; padding-left: 50px; margin-bottom: 50px;' src='stim/winwin.bmp'><img style='border: 5px solid #ffffff;  padding-left:15px;' src='stim/a/Field11.bmp'>","null","html-keyboard-response","53","57159","0.0-0.0-2.17","","","","","","","","","","","","","","","","","","","","","","","",""
"null","<img style='width:200px; height:200px; margin-left: 95px; margin-right: 95px;' src='stim/fixation.png'>","null","html-keyboard-response","54","58169","0.0-0.0-0.18","","","","","","","","","","","","","","","","","","","","","","","",""
"884.0000000782311","<img src='stim/a/Field9.bmp'><img style='width:200px; height:200px; margin-bottom: 0px;' src='stim/fixation.png'><img src='stim/a/Field12.bmp'>","49","html-keyboard-response","55","59094","0.0-0.0-1.18","training","ef","0.9","valid","10","e","avoid:lose","49","Field9.bmp","Field12.bmp","Field9.bmp","GUID","0","00","10/09/2020","","","19","1","1","keep_money.png","A","money","8"
"null","<img style='border: 5px solid #808080;' src='stim/a/Field9.bmp'><img style='width:150px; height:150px; padding-right: 50px; padding-left: 50px; margin-bottom: 50px;' src='stim/keep_money.png'><img style='border: 5px solid #ffffff;  padding-left:15px;' src='stim/a/Field12.bmp'>","null","html-keyboard-response","56","60102","0.0-0.0-2.18","","","","","","","","","","","","","","","","","","","","","","","",""
"null","<img style='width:200px; height:200px; margin-left: 95px; margin-right: 95px;' src='stim/fixation.png'>","null","html-keyboard-response","57","61109","0.0-0.0-0.19","","","","","","","","","","","","","","","","","","","","","","","",""
"986.0000000335276","<img src='stim/a/Field16.bmp'><img style='width:200px; height:200px; margin-bottom: 0px;' src='stim/fixation.png'><img src='stim/a/Field15.bmp'>","48","html-keyboard-response","58","62100","0.0-0.0-1.19","training","gh","0.8","valid","10","g","avoid:lose","48","Field15.bmp","Field16.bmp","Field15.bmp","GUID","0","00","10/09/2020","","","20","1","1","keep_money.png","A","money","8"
"null","<img style='border: 5px solid #ffffff; padding-right:15px;' src='stim/a/Field16.bmp'><img style='width:150px; height:150px; padding-right: 50px; padding-left: 50px; margin-bottom: 50px;' src='stim/keep_money.png'><img style='border: 5px solid #808080;'src='stim/a/Field15.bmp'>","null","html-keyboard-response","59","63108","0.0-0.0-2.19","","","","","","","","","","","","","","","","","","","","","","","",""
"null","<img style='width:200px; height:200px; margin-left: 95px; margin-right: 95px;' src='stim/fixation.png'>","null","html-keyboard-response","60","64129","0.0-0.0-0.20","","","","","","","","","","","","","","","","","","","","","","","",""
"793.0000000633299","<img src='stim/a/Field12.bmp'><img style='width:200px; height:200px; margin-bottom: 0px;' src='stim/fixation.png'><img src='stim/a/Field9.bmp'>","48","html-keyboard-response","61","64930","0.0-0.0-1.20","training","ef","0.9","valid","10","e","avoid:lose","48","Field12.bmp","Field9.bmp","Field9.bmp","GUID","0","00","10/09/2020","","","21","1","1","keep_money.png","A","money","8"
"null","<img style='border: 5px solid #ffffff; padding-right:15px;' src='stim/a/Field12.bmp'><img style='width:150px; height:150px; padding-right: 50px; padding-left: 50px; margin-bottom: 50px;' src='stim/keep_money.png'><img style='border: 5px solid #808080;'src='stim/a/Field9.bmp'>","null","html-keyboard-response","62","65956","0.0-0.0-2.20","","","","","","","","","","","","","","","","","","","","","","","",""
"null","<img style='width:200px; height:200px; margin-left: 95px; margin-right: 95px;' src='stim/fixation.png'>","null","html-keyboard-response","63","66961","0.0-0.0-0.21","","","","","","","","","","","","","","","","","","","","","","","",""
"954.0000003762543","<img src='stim/a/Field16.bmp'><img style='width:200px; height:200px; margin-bottom: 0px;' src='stim/fixation.png'><img src='stim/a/Field15.bmp'>","48","html-keyboard-response","64","67923","0.0-0.0-1.21","training","gh","0.8","valid","10","g","avoid:lose","48","Field15.bmp","Field16.bmp","Field15.bmp","GUID","0","00","10/09/2020","","","22","1","1","keep_money.png","A","money","8"
"null","<img style='border: 5px solid #ffffff; padding-right:15px;' src='stim/a/Field16.bmp'><img style='width:150px; height:150px; padding-right: 50px; padding-left: 50px; margin-bottom: 50px;' src='stim/keep_money.png'><img style='border: 5px solid #808080;'src='stim/a/Field15.bmp'>","null","html-keyboard-response","65","68929","0.0-0.0-2.21","","","","","","","","","","","","","","","","","","","","","","","",""
"null","<img style='width:200px; height:200px; margin-left: 95px; margin-right: 95px;' src='stim/fixation.png'>","null","html-keyboard-response","66","69958","0.0-0.0-0.22","","","","","","","","","","","","","","","","","","","","","","","",""
"799.000000115484","<img src='stim/a/Field14.bmp'><img style='width:200px; height:200px; margin-bottom: 0px;' src='stim/fixation.png'><img src='stim/a/Field11.bmp'>","49","html-keyboard-response","67","70762","0.0-0.0-1.22","training","cd","0.8","valid","10","c","win:stay","49","Field14.bmp","Field11.bmp","Field14.bmp","GUID","0","00","10/09/2020","","","23","1","1","winwin.bmp","A","money","9"
"null","<img style='border: 5px solid #808080;' src='stim/a/Field14.bmp'><img style='width:150px; height:150px; padding-right: 50px; padding-left: 50px; margin-bottom: 50px;' src='stim/winwin.bmp'><img style='border: 5px solid #ffffff;  padding-left:15px;' src='stim/a/Field11.bmp'>","null","html-keyboard-response","68","71766","0.0-0.0-2.22","","","","","","","","","","","","","","","","","","","","","","","",""
"null","<img style='width:200px; height:200px; margin-left: 95px; margin-right: 95px;' src='stim/fixation.png'>","null","html-keyboard-response","69","72769","0.0-0.0-0.23","","","","","","","","","","","","","","","","","","","","","","","",""
"819.9999998323619","<img src='stim/a/Field3.bmp'><img style='width:200px; height:200px; margin-bottom: 0px;' src='stim/fixation.png'><img src='stim/a/Field5.bmp'>","49","html-keyboard-response","70","73595","0.0-0.0-1.23","training","ab","0.9","valid","10","a","win:stay","49","Field3.bmp","Field5.bmp","Field3.bmp","GUID","0","00","10/09/2020","","","24","1","1","winwin.bmp","A","money","10"
"null","<img style='border: 5px solid #808080;' src='stim/a/Field3.bmp'><img style='width:150px; height:150px; padding-right: 50px; padding-left: 50px; margin-bottom: 50px;' src='stim/winwin.bmp'><img style='border: 5px solid #ffffff;  padding-left:15px;' src='stim/a/Field5.bmp'>","null","html-keyboard-response","71","74600","0.0-0.0-2.23","","","","","","","","","","","","","","","","","","","","","","","",""
"null","<img style='width:200px; height:200px; margin-left: 95px; margin-right: 95px;' src='stim/fixation.png'>","null","html-keyboard-response","72","75607","0.0-0.0-0.24","","","","","","","","","","","","","","","","","","","","","","","",""
"987.0000001974404","<img src='stim/a/Field14.bmp'><img style='width:200px; height:200px; margin-bottom: 0px;' src='stim/fixation.png'><img src='stim/a/Field11.bmp'>","49","html-keyboard-response","73","76601","0.0-0.0-1.24","training","cd","0.8","valid","10","c","win:stay","49","Field14.bmp","Field11.bmp","Field14.bmp","GUID","0","00","10/09/2020","","","25","1","1","winwin.bmp","A","money","11"
"null","<img style='border: 5px solid #808080;' src='stim/a/Field14.bmp'><img style='width:150px; height:150px; padding-right: 50px; padding-left: 50px; margin-bottom: 50px;' src='stim/winwin.bmp'><img style='border: 5px solid #ffffff;  padding-left:15px;' src='stim/a/Field11.bmp'>","null","html-keyboard-response","74","77605","0.0-0.0-2.24","","","","","","","","","","","","","","","","","","","","","","","",""
"null","<img style='width:200px; height:200px; margin-left: 95px; margin-right: 95px;' src='stim/fixation.png'>","null","html-keyboard-response","75","78611","0.0-0.0-0.25","","","","","","","","","","","","","","","","","","","","","","","",""
"918.0000000633299","<img src='stim/a/Field5.bmp'><img style='width:200px; height:200px; margin-bottom: 0px;' src='stim/fixation.png'><img src='stim/a/Field3.bmp'>","49","html-keyboard-response","76","79531","0.0-0.0-1.25","training","ab","0.9","valid","10","a","win:stay","48","Field5.bmp","Field3.bmp","Field3.bmp","GUID","0","00","10/09/2020","","","26","1","0","not_winner.png","A","money","11"
"null","<img style='border: 5px solid #808080;' src='stim/a/Field5.bmp'><img style='width:150px; height:150px; padding-right: 50px; padding-left: 50px; margin-bottom: 50px;' src='stim/not_winner.png'><img style='border: 5px solid #ffffff;  padding-left:15px;' src='stim/a/Field3.bmp'>","null","html-keyboard-response","77","80535","0.0-0.0-2.25","","","","","","","","","","","","","","","","","","","","","","","",""
"null","<img style='width:200px; height:200px; margin-left: 95px; margin-right: 95px;' src='stim/fixation.png'>","null","html-keyboard-response","78","81537","0.0-0.0-0.26","","","","","","","","","","","","","","","","","","","","","","","",""
"1044.9999999254942","<img src='stim/a/Field15.bmp'><img style='width:200px; height:200px; margin-bottom: 0px;' src='stim/fixation.png'><img src='stim/a/Field16.bmp'>","49","html-keyboard-response","79","82590","0.0-0.0-1.26","training","gh","0.8","invalid","10","g","avoid:lose","49","Field15.bmp","Field16.bmp","Field15.bmp","GUID","0","00","10/09/2020","","","27","1","1","loselose.bmp","A","money","10"
"null","<img style='border: 5px solid #808080;' src='stim/a/Field15.bmp'><img style='width:150px; height:150px; padding-right: 50px; padding-left: 50px; margin-bottom: 50px;' src='stim/loselose.bmp'><img style='border: 5px solid #ffffff;  padding-left:15px;' src='stim/a/Field16.bmp'>","null","html-keyboard-response","80","83593","0.0-0.0-2.26","","","","","","","","","","","","","","","","","","","","","","","",""
"null","<img style='width:200px; height:200px; margin-left: 95px; margin-right: 95px;' src='stim/fixation.png'>","null","html-keyboard-response","81","84597","0.0-0.0-0.27","","","","","","","","","","","","","","","","","","","","","","","",""
"1055.000000167638","<img src='stim/a/Field9.bmp'><img style='width:200px; height:200px; margin-bottom: 0px;' src='stim/fixation.png'><img src='stim/a/Field12.bmp'>","48","html-keyboard-response","82","85656","0.0-0.0-1.27","training","ef","0.9","invalid","10","e","avoid:lose","49","Field9.bmp","Field12.bmp","Field9.bmp","GUID","0","00","10/09/2020","","","28","1","0","keep_money.png","A","money","10"
"null","<img style='border: 5px solid #ffffff; padding-right:15px;' src='stim/a/Field9.bmp'><img style='width:150px; height:150px; padding-right: 50px; padding-left: 50px; margin-bottom: 50px;' src='stim/keep_money.png'><img style='border: 5px solid #808080;'src='stim/a/Field12.bmp'>","null","html-keyboard-response","83","86659","0.0-0.0-2.27","","","","","","","","","","","","","","","","","","","","","","","",""
