"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","test_part","pair","pair_validity","trial_validity","pair_trials_per_block","pair_best_choice","reward_type","correct_response","stim_left","stim_right","stim_best_choice","subjectkey","src_subject_id","site","interview_date","interview_age","sex","trial","block","accuracy","stim_feedback","stim_set","reward_set","reward_tally"
"null","<img style='width:200px; height:200px; margin-left: 95px; margin-right: 95px;' src='stim/fixation.png'>","null","html-keyboard-response","0","505","0.0-0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","",""
"2494.9999996460974","<img src='stim/a/Field5.bmp'><img style='width:200px; height:200px; margin-bottom: 0px;' src='stim/fixation.png'><img src='stim/a/Field3.bmp'>","49","html-keyboard-response","1","3008","0.0-0.0-1.0","training","ab","0.9","valid","10","a","win:stay","48","Field5.bmp","Field3.bmp","Field3.bmp","GUID","0","00","10/09/2020","","","1","1","0","not_winner.png","A","money","0"
"null","<img style='border: 5px solid #808080;' src='stim/a/Field5.bmp'><img style='width:150px; height:150px; padding-right: 50px; padding-left: 50px; margin-bottom: 50px;' src='stim/not_winner.png'><img style='border: 5px solid #ffffff;  padding-left:15px;' src='stim/a/Field3.bmp'>","null","html-keyboard-response","2","4020","0.0-0.0-2.0","","","","","","","","","","","","","","","","","","","","","","","",""
"null","<img style='width:200px; height:200px; margin-left: 95px; margin-right: 95px;' src='stim/fixation.png'>","null","html-keyboard-response","3","5025","0.0-0.0-0.1","","","","","","","","","","","","","","","","","","","","","","","",""
"347.9999997653067","<img src='stim/a/Field11.bmp'><img style='width:200px; height:200px; margin-bottom: 0px;' src='stim/fixation.png'><img src='stim/a/Field14.bmp'>","49","html-keyboard-response","4","5379","0.0-0.0-1.1","training","cd","0.8","invalid","10","c","win:stay","48","Field11.bmp","Field14.bmp","Field14.bmp","GUID","0","00","10/09/2020","","","2","1","0","winwin.bmp","A","money","1"
"null","<img style='border: 5px solid #808080;' src='stim/a/Field11.bmp'><img style='width:150px; height:150px; padding-right: 50px; padding-left: 50px; margin-bottom: 50px;' src='stim/winwin.bmp'><img style='border: 5px solid #ffffff;  padding-left:15px;' src='stim/a/Field14.bmp'>","null","html-keyboard-response","5","6384","0.0-0.0-2.1","","","","","","","","","","","","","","","","","","","","","","","",""
"null","<img style='width:200px; height:200px; margin-left: 95px; margin-right: 95px;' src='stim/fixation.png'>","null","html-keyboard-response","6","7387","0.0-0.0-0.2","","","","","","","","","","","","","","","","","","","","","","","",""
"706.9999999366701","<img src='stim/a/Field9.bmp'><img style='width:200px; height:200px; margin-bottom: 0px;' src='stim/fixation.png'><img src='stim/a/Field12.bmp'>","49","html-keyboard-response","7","8100","0.0-0.0-1.2","training","ef","0.9","valid","10","e","avoid:lose","49","Field9.bmp","Field12.bmp","Field9.bmp","GUID","0","00","10/09/2020","","","3","1","1","keep_money.png","A","money","1"
"null","<img style='border: 5px solid #808080;' src='stim/a/Field9.bmp'><img style='width:150px; height:150px; padding-right: 50px; padding-left: 50px; margin-bottom: 50px;' src='stim/keep_money.png'><img style='border: 5px solid #ffffff;  padding-left:15px;' src='stim/a/Field12.bmp'>","null","html-keyboard-response","8","9110","0.0-0.0-2.2","","","","","","","","","","","","","","","","","","","","","","","",""
"null","<img style='width:200px; height:200px; margin-left: 95px; margin-right: 95px;' src='stim/fixation.png'>","null","html-keyboard-response","9","10115","0.0-0.0-0.3","","","","","","","","","","","","","","","","","","","","","","","",""
"840.0000003166497","<img src='stim/a/Field16.bmp'><img style='width:200px; height:200px; margin-bottom: 0px;' src='stim/fixation.png'><img src='stim/a/Field15.bmp'>","49","html-keyboard-response","10","10964","0.0-0.0-1.3","training","gh","0.8","valid","10","g","avoid:lose","48","Field15.bmp","Field16.bmp","Field15.bmp","GUID","0","00","10/09/2020","","","4","1","0","loselose.bmp","A","money","0"
"null","<img style='border: 5px solid #808080;' src='stim/a/Field16.bmp'><img style='width:150px; height:150px; padding-right: 50px; padding-left: 50px; margin-bottom: 50px;' src='stim/loselose.bmp'><img style='border: 5px solid #ffffff;  padding-left:15px;' src='stim/a/Field15.bmp'>","null","html-keyboard-response","11","11969","0.0-0.0-2.3","","","","","","","","","","","","","","","","","","","","","","","",""
"null","<img style='width:200px; height:200px; margin-left: 95px; margin-right: 95px;' src='stim/fixation.png'>","null","html-keyboard-response","12","12971","0.0-0.0-0.4","","","","","","","","","","","","","","","","","","","","","","","",""
"835.9999996609986","<img src='stim/a/Field9.bmp'><img style='width:200px; height:200px; margin-bottom: 0px;' src='stim/fixation.png'><img src='stim/a/Field12.bmp'>","49","html-keyboard-response","13","13814","0.0-0.0-1.4","training","ef","0.9","valid","10","e","avoid:lose","49","Field9.bmp","Field12.bmp","Field9.bmp","GUID","0","00","10/09/2020","","","5","1","1","keep_money.png","A","money","0"
