"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","test_part","pair","pair_validity","trial_validity","pair_trials_per_block","pair_best_choice","reward_type","correct_response","stim_left","stim_right","stim_best_choice","subjectkey","src_subject_id","site","interview_date","interview_age","sex","handedness","task_version","task_condition","trial","block","reward_tally","accuracy","stim_feedback","stim_set","reward_set"
"null","<img style='border: 5px solid #ffffff; padding-right:15px;' src='stim/b/African_landscape.jpg' width='750px' height='500px'><img style='width:150px; height:150px; padding-right: 50px; padding-left: 50px; margin-bottom: 25px;' src='stim/not_winner.png'><img style='border: 5px solid #808080;'src='stim/b/closeWater_pines_mountains.jpg' width='750px' height='500px'>","null","html-keyboard-response","24","16270","0.0-7.0-2.5","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","<img style='width:200px; height:200px; margin-left: 95px; margin-right: 95px;' src='stim/fixation.png'>","null","html-keyboard-response","25","17276","0.0-7.0-0.6","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"244.58999978378415","<img src='stim/b/closeWater_pines_mountains.jpg' width='750px' height='500px'><img style='width:200px; height:200px; margin-bottom: 0px;' src='stim/fixation.png'><img src='stim/b/African_landscape.jpg' width='750px' height='500px'>","48","html-keyboard-response","26","17523","0.0-7.0-1.6","practice","ab","1","valid","6","a","win:stay","48","closeWater_pines_mountains.jpg","African_landscape.jpg","African_landscape.jpg","GUID","2123","2","11/12/2020","0","M","left","points","B","-7","1","0","1","winpoints.bmp","B","points"
"null","<img style='border: 5px solid #ffffff; padding-right:15px;' src='stim/b/closeWater_pines_mountains.jpg' width='750px' height='500px'><img style='width:150px; height:150px; padding-right: 50px; padding-left: 50px; margin-bottom: 25px;' src='stim/winpoints.bmp'><img style='border: 5px solid #808080;'src='stim/b/African_landscape.jpg' width='750px' height='500px'>","null","html-keyboard-response","27","18530","0.0-7.0-2.6","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","<img style='width:200px; height:200px; margin-left: 95px; margin-right: 95px;' src='stim/fixation.png'>","null","html-keyboard-response","28","19536","0.0-7.0-0.7","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"203.23500037193298","<img src='stim/b/wheat_with_farmhouse.jpg' width='750px' height='500px'><img style='width:200px; height:200px; margin-bottom: 0px;' src='stim/fixation.png'><img src='stim/b/Trees_with_flowers.jpg' width='750px' height='500px'>","48","html-keyboard-response","29","19742","0.0-7.0-1.7","practice","ef","1","valid","6","e","avoid:lose","48","wheat_with_farmhouse.jpg","Trees_with_flowers.jpg","Trees_with_flowers.jpg","GUID","2123","2","11/12/2020","0","M","left","points","B","-8","1","0","1","keep_points.png","B","points"
"null","<img style='border: 5px solid #ffffff; padding-right:15px;' src='stim/b/wheat_with_farmhouse.jpg' width='750px' height='500px'><img style='width:150px; height:150px; padding-right: 50px; padding-left: 50px; margin-bottom: 25px;' src='stim/keep_points.png'><img style='border: 5px solid #808080;'src='stim/b/Trees_with_flowers.jpg' width='750px' height='500px'>","null","html-keyboard-response","30","20750","0.0-7.0-2.7","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","<img style='width:200px; height:200px; margin-left: 95px; margin-right: 95px;' src='stim/fixation.png'>","null","html-keyboard-response","31","21756","0.0-7.0-0.8","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"288.22499979287386","<img src='stim/b/African_landscape.jpg' width='750px' height='500px'><img style='width:200px; height:200px; margin-bottom: 0px;' src='stim/fixation.png'><img src='stim/b/closeWater_pines_mountains.jpg' width='750px' height='500px'>","48","html-keyboard-response","32","22047","0.0-7.0-1.8","practice","ab","1","valid","6","a","win:stay","49","African_landscape.jpg","closeWater_pines_mountains.jpg","African_landscape.jpg","GUID","2123","2","11/12/2020","0","M","left","points","B","-9","1","0","0","not_winner.png","B","points"
"null","<img style='border: 5px solid #ffffff; padding-right:15px;' src='stim/b/African_landscape.jpg' width='750px' height='500px'><img style='width:150px; height:150px; padding-right: 50px; padding-left: 50px; margin-bottom: 25px;' src='stim/not_winner.png'><img style='border: 5px solid #808080;'src='stim/b/closeWater_pines_mountains.jpg' width='750px' height='500px'>","null","html-keyboard-response","33","23054","0.0-7.0-2.8","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","<img style='width:200px; height:200px; margin-left: 95px; margin-right: 95px;' src='stim/fixation.png'>","null","html-keyboard-response","34","24060","0.0-7.0-0.9","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"192.1450002118945","<img src='stim/b/wheat_with_farmhouse.jpg' width='750px' height='500px'><img style='width:200px; height:200px; margin-bottom: 0px;' src='stim/fixation.png'><img src='stim/b/Trees_with_flowers.jpg' width='750px' height='500px'>","48","html-keyboard-response","35","24255","0.0-7.0-1.9","practice","ef","1","valid","6","e","avoid:lose","48","wheat_with_farmhouse.jpg","Trees_with_flowers.jpg","Trees_with_flowers.jpg","GUID","2123","2","11/12/2020","0","M","left","points","B","-10","1","0","1","keep_points.png","B","points"
"null","<img style='border: 5px solid #ffffff; padding-right:15px;' src='stim/b/wheat_with_farmhouse.jpg' width='750px' height='500px'><img style='width:150px; height:150px; padding-right: 50px; padding-left: 50px; margin-bottom: 25px;' src='stim/keep_points.png'><img style='border: 5px solid #808080;'src='stim/b/Trees_with_flowers.jpg' width='750px' height='500px'>","null","html-keyboard-response","36","25262","0.0-7.0-2.9","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","<img style='width:200px; height:200px; margin-left: 95px; margin-right: 95px;' src='stim/fixation.png'>","null","html-keyboard-response","37","26267","0.0-7.0-0.10","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"278.3999997191131","<img src='stim/b/closeWater_pines_mountains.jpg' width='750px' height='500px'><img style='width:200px; height:200px; margin-bottom: 0px;' src='stim/fixation.png'><img src='stim/b/African_landscape.jpg' width='750px' height='500px'>","48","html-keyboard-response","38","26548","0.0-7.0-1.10","practice","ab","1","valid","6","a","win:stay","48","closeWater_pines_mountains.jpg","African_landscape.jpg","African_landscape.jpg","GUID","2123","2","11/12/2020","0","M","left","points","B","-11","1","5","1","winpoints.bmp","B","points"
"null","<img style='border: 5px solid #ffffff; padding-right:15px;' src='stim/b/closeWater_pines_mountains.jpg' width='750px' height='500px'><img style='width:150px; height:150px; padding-right: 50px; padding-left: 50px; margin-bottom: 25px;' src='stim/winpoints.bmp'><img style='border: 5px solid #808080;'src='stim/b/African_landscape.jpg' width='750px' height='500px'>","null","html-keyboard-response","39","27555","0.0-7.0-2.10","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","<img style='width:200px; height:200px; margin-left: 95px; margin-right: 95px;' src='stim/fixation.png'>","null","html-keyboard-response","40","28561","0.0-7.0-0.11","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"317.6950002089143","<img src='stim/b/Trees_with_flowers.jpg' width='750px' height='500px'><img style='width:200px; height:200px; margin-bottom: 0px;' src='stim/fixation.png'><img src='stim/b/wheat_with_farmhouse.jpg' width='750px' height='500px'>","48","html-keyboard-response","41","28881","0.0-7.0-1.11","practice","ef","1","valid","6","e","avoid:lose","49","Trees_with_flowers.jpg","wheat_with_farmhouse.jpg","Trees_with_flowers.jpg","GUID","2123","2","11/12/2020","0","M","left","points","B","-12","1","0","0","losepoints.bmp","B","points"
"null","<img style='border: 5px solid #ffffff; padding-right:15px;' src='stim/b/Trees_with_flowers.jpg' width='750px' height='500px'><img style='width:150px; height:150px; padding-right: 50px; padding-left: 50px; margin-bottom: 25px;' src='stim/losepoints.bmp'><img style='border: 5px solid #808080;'src='stim/b/wheat_with_farmhouse.jpg' width='750px' height='500px'>","null","html-keyboard-response","42","29887","0.0-7.0-2.11","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5860.700000077486","<p>Great!</p> <p>Press the spacebar to continue.</p>","32","html-keyboard-response","43","36251","0.0-8.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1191.2799999117851","<p>Now you will see some more pictures.</p><p>Do as before by pressing the 1 to choose the picture on the left, and pressing the 0 to choose the picture on the right.</p><p>Press the spacebar to continue.</p>","32","html-keyboard-response","44","37443","0.0-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"319.4850003346801","<h3 style=""color:red;"">For the picture pairs where you can win points:</h3><p>You will not win every time you choose the ""best"" picture;</p><p>However, one picture gets rewarded much more often than the other picture.</p><h3 style=""color:red;"">For the picture pairs where the best you can do is keep your points:</h3><p>You will not be able to keep your points every time you choose the ""best"" picture;</p><p>However, one picture allows you to keep your points much more often than the other picture.</p><p>Press the spacebar to continue.</p>","32","html-keyboard-response","45","37764","0.0-10.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"236.20499996468425","<p>There is no ABSOLUTE right answer for any pair of pictures, but some pictures have a higher chance of either winning you some money or preventing you from losing money.</p><p>Try to pick the picture that you think is best.<p><p>Once you decide which picture in a pair of pictures is better, stick with it for the rest of the experiment (unless you determine that you were initially wrong about the selection).</p><p>Press the spacebar when you are ready to begin.</p>","32","html-keyboard-response","46","38001","0.0-11.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","<p>Data saving...</p><div class=""sk-cube-grid""><div class=""sk-cube sk-cube1""></div><div class=""sk-cube sk-cube2""></div><div class=""sk-cube sk-cube3""></div><div class=""sk-cube sk-cube4""></div><div class=""sk-cube sk-cube5""></div><div class=""sk-cube sk-cube6""></div><div class=""sk-cube sk-cube7""></div><div class=""sk-cube sk-cube8""></div><div class=""sk-cube sk-cube9""></div></div><p>Do not close this window until the text dissapears.</p>","null","html-keyboard-response","47","43004","0.0-12.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
