"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","test_part","pair","pair_validity","trial_validity","pair_trials_per_block","pair_best_choice","reward_type","correct_response","stim_left","stim_right","stim_best_choice","subjectkey","src_subject_id","interview_date","interview_age","sex","handedness","trial","block","accuracy","reward_tally","stim_feedback","stim_set","reward_set"
"326.024999999845","<h3 style=""color:#0ed145;"">Welcome to the experiment!</h3><p>Press the spacebar to continue.</p>","32","html-keyboard-response","0","330","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","",""
"158.0500000000029","<p>In this task you will see two pictures side-by-side on the computer screen.</p><p>In each pair of pictures you see on the screen, one picture will be better than the other.</p><p>You need to figure out which picture in each pair is the better one.</p><p>Press the spacebar to continue.</p>","32","html-keyboard-response","1","490","0.0-1.0","","","","","","","","","","","","","","","","","","","","","","","",""
"202.02500000004875","<p>The better picture in each pair will be more likely to either:</p><p>A) win you some points,</p><p>or</p><p>B) allow you to keep the points you've already earned.</p><p>Press the spacebar to continue.</p>","32","html-keyboard-response","2","693","0.0-2.0","","","","","","","","","","","","","","","","","","","","","","","",""
"91.95500000032553","<p>On those trials where you can A) win points, you will want to select the picture most likely to earn points:</p><img style=""height:100px; width:100px"" src=""stim/winpoints.bmp""</img><p>Because if you keep seeing this feedback:</p><img style=""height:125px; width:125px"" src=""stim/not_winner.png""></img><p>you probably aren't selecting the best picture...</p><p>Press the spacebar to continue.</p>","32","html-keyboard-response","3","788","0.0-3.0","","","","","","","","","","","","","","","","","","","","","","","",""
"94.87500000022919","<p>On those trials where you can B) lose points, you will want to select the picture most likely to give this feedback:</p><img style=""height:125px; width:125px"" src=""stim/keep_points.png""></img><p>Because if you keep seeing this:</p><img style=""height:100px; width:100px"" src=""stim/losepoints.bmp""></img><p>you probably aren't selecting the best picture...</p><p>Press the spacebar to continue.</p>","32","html-keyboard-response","4","886","0.0-4.0","","","","","","","","","","","","","","","","","","","","","","","",""
"88.14499999971304","<p>Press the 1 key on your keyboard to select the picture on the LEFT.</p><p>Press the 0 key on your keyboard to select the picture on the RIGHT.</p><p>Press the spacebar to continue.</p>","32","html-keyboard-response","5","975","0.0-5.0","","","","","","","","","","","","","","","","","","","","","","","",""
"1627.4349999998776","<p>First, you will do some practice trials.</p> <p>Press either response button when you are ready to begin.</p>","48","html-keyboard-response","6","2604","0.0-6.0","","","","","","","","","","","","","","","","","","","","","","","",""
"null","<img style='width:200px; height:200px; margin-left: 95px; margin-right: 95px;' src='stim/fixation.png'>","null","html-keyboard-response","7","3109","0.0-7.0-0.0","","","","","","","","","","","","","","","","","","","","","","","",""
"432.4900000001435","<img src='stim/b/wheat_with_farmhouse.jpg'><img style='width:200px; height:200px; margin-bottom: 0px;' src='stim/fixation.png'><img src='stim/b/Trees_with_flowers.jpg'>","48","html-keyboard-response","8","3548","0.0-7.0-1.0","practice","ef","1","valid","6","e","avoid:lose","48","wheat_with_farmhouse.jpg","Trees_with_flowers.jpg","Trees_with_flowers.jpg","GUID","1123","11/11/2020","12","M","right","-1","1","1","0","keep_points.png","B","points"
"null","<img style='border: 5px solid #ffffff; padding-right:15px;' src='stim/b/wheat_with_farmhouse.jpg'><img style='width:150px; height:150px; padding-right: 50px; padding-left: 50px; margin-bottom: 25px;' src='stim/keep_points.png'><img style='border: 5px solid #808080;'src='stim/b/Trees_with_flowers.jpg'>","null","html-keyboard-response","9","4554","0.0-7.0-2.0","","","","","","","","","","","","","","","","","","","","","","","",""
"null","<img style='width:200px; height:200px; margin-left: 95px; margin-right: 95px;' src='stim/fixation.png'>","null","html-keyboard-response","10","5558","0.0-7.0-0.1","","","","","","","","","","","","","","","","","","","","","","","",""
"274.75000000004","<img src='stim/b/closeWater_pines_mountains.jpg'><img style='width:200px; height:200px; margin-bottom: 0px;' src='stim/fixation.png'><img src='stim/b/African_landscape.jpg'>","48","html-keyboard-response","11","5837","0.0-7.0-1.1","practice","ab","1","valid","6","a","win:stay","48","closeWater_pines_mountains.jpg","African_landscape.jpg","African_landscape.jpg","GUID","1123","11/11/2020","12","M","right","-1","1","1","5","winpoints.bmp","B","points"
"null","<img style='border: 5px solid #ffffff; padding-right:15px;' src='stim/b/closeWater_pines_mountains.jpg'><img style='width:150px; height:150px; padding-right: 50px; padding-left: 50px; margin-bottom: 25px;' src='stim/winpoints.bmp'><img style='border: 5px solid #808080;'src='stim/b/African_landscape.jpg'>","null","html-keyboard-response","12","6843","0.0-7.0-2.1","","","","","","","","","","","","","","","","","","","","","","","",""
"null","<img style='width:200px; height:200px; margin-left: 95px; margin-right: 95px;' src='stim/fixation.png'>","null","html-keyboard-response","13","7851","0.0-7.0-0.2","","","","","","","","","","","","","","","","","","","","","","","",""
"1704.3300000000236","<img src='stim/b/Trees_with_flowers.jpg'><img style='width:200px; height:200px; margin-bottom: 0px;' src='stim/fixation.png'><img src='stim/b/wheat_with_farmhouse.jpg'>","49","html-keyboard-response","14","9560","0.0-7.0-1.2","practice","ef","1","valid","6","e","avoid:lose","49","Trees_with_flowers.jpg","wheat_with_farmhouse.jpg","Trees_with_flowers.jpg","GUID","1123","11/11/2020","12","M","right","-1","1","1","5","keep_points.png","B","points"
"null","<img style='border: 5px solid #808080;' src='stim/b/Trees_with_flowers.jpg'><img style='width:150px; height:150px; padding-right: 50px; padding-left: 50px; margin-bottom: 25px;' src='stim/keep_points.png'><img style='border: 5px solid #ffffff;  padding-left:15px;' src='stim/b/wheat_with_farmhouse.jpg'>","null","html-keyboard-response","15","10561","0.0-7.0-2.2","","","","","","","","","","","","","","","","","","","","","","","",""
"null","<img style='width:200px; height:200px; margin-left: 95px; margin-right: 95px;' src='stim/fixation.png'>","null","html-keyboard-response","16","11564","0.0-7.0-0.3","","","","","","","","","","","","","","","","","","","","","","","",""
"193.33499999993364","<img src='stim/b/closeWater_pines_mountains.jpg'><img style='width:200px; height:200px; margin-bottom: 0px;' src='stim/fixation.png'><img src='stim/b/African_landscape.jpg'>","48","html-keyboard-response","17","11761","0.0-7.0-1.3","practice","ab","1","valid","6","a","win:stay","48","closeWater_pines_mountains.jpg","African_landscape.jpg","African_landscape.jpg","GUID","1123","11/11/2020","12","M","right","-1","1","1","10","winpoints.bmp","B","points"
