"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","test_part","pair","pair_validity","trial_validity","pair_trials_per_block","pair_best_choice","reward_type","correct_response","stim_left","stim_right","stim_best_choice","subjectkey","src_subject_id","interview_date","interview_age","sex","handedness","trial","block","accuracy","reward_tally","stim_feedback","stim_set","reward_set"
"1685.0000000013097","<h3 style=""color:#0ed145;"">Welcome to the experiment!</h3><p>Press the spacebar to continue.</p>","32","html-keyboard-response","0","1688","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","",""
"4260.000000002037","<p>In this task you will see two pictures side-by-side on the computer screen.</p><p>In each pair of pictures you see on the screen, one picture will be better than the other.</p><p>You need to figure out which picture in each pair is the better one.</p><p>Press the spacebar to continue.</p>","32","html-keyboard-response","1","5949","0.0-1.0","","","","","","","","","","","","","","","","","","","","","","","",""
"3261.9999999988067","<p>The better picture in each pair will be more likely to either:</p><p>A) win you some points,</p><p>or</p><p>B) allow you to keep the points you've already earned.</p><p>Press the spacebar to continue.</p>","32","html-keyboard-response","2","9213","0.0-2.0","","","","","","","","","","","","","","","","","","","","","","","",""
"11672.999999998865","<p>On those trials where you can A) win points, you will want to select the picture most likely to earn points:</p><img style=""height:100px; width:100px"" src=""stim/winpoints.bmp""</img><p>Because if you keep seeing this feedback:</p><img style=""height:125px; width:125px"" src=""stim/not_winner.png""></img><p>you probably aren't selecting the best picture...</p><p>Press the spacebar to continue.</p>","32","html-keyboard-response","3","20889","0.0-3.0","","","","","","","","","","","","","","","","","","","","","","","",""
"8722.000000001572","<p>On those trials where you can B) lose points, you will want to select the picture most likely to give this feedback:</p><img style=""height:125px; width:125px"" src=""stim/keep_points.png""></img><p>Because if you keep seeing this:</p><img style=""height:100px; width:100px"" src=""stim/losepoints.bmp""></img><p>you probably aren't selecting the best picture...</p><p>Press the spacebar to continue.</p>","32","html-keyboard-response","4","29613","0.0-4.0","","","","","","","","","","","","","","","","","","","","","","","",""
"3231.999999999971","<p>Press the 1 key on your keyboard to select the picture on the LEFT.</p><p>Press the 0 key on your keyboard to select the picture on the RIGHT.</p><p>Press the spacebar to continue.</p>","32","html-keyboard-response","5","32847","0.0-5.0","","","","","","","","","","","","","","","","","","","","","","","",""
"3940.999999998894","<p>First, you will do some practice trials.</p> <p>Press either response button when you are ready to begin.</p>","49","html-keyboard-response","6","36789","0.0-6.0","","","","","","","","","","","","","","","","","","","","","","","",""
"null","<img style='width:200px; height:200px; margin-left: 95px; margin-right: 95px;' src='stim/fixation.png'>","null","html-keyboard-response","7","37291","0.0-7.0-0.0","","","","","","","","","","","","","","","","","","","","","","","",""
"631.9999999977881","<img src='stim/b/African_landscape.jpg' width='750px' height='500px'><img style='width:200px; height:200px; margin-bottom: 0px;' src='stim/fixation.png'><img src='stim/b/closeWater_pines_mountains.jpg' width='750px' height='500px'>","49","html-keyboard-response","8","37925","0.0-7.0-1.0","practice","ab","1","valid","6","a","win:stay","49","African_landscape.jpg","closeWater_pines_mountains.jpg","African_landscape.jpg","GUID","11","11/12/2020","43","M","right","-1","1","1","5","winpoints.bmp","B","points"
"null","<img style='border: 5px solid #808080;' src='stim/b/African_landscape.jpg' width='750px' height='500px'><img style='width:150px; height:150px; padding-right: 50px; padding-left: 50px; margin-bottom: 25px;' src='stim/winpoints.bmp'><img style='border: 5px solid #ffffff;  padding-left:15px;' src='stim/b/closeWater_pines_mountains.jpg' width='750px' height='500px'>","null","html-keyboard-response","9","38928","0.0-7.0-2.0","","","","","","","","","","","","","","","","","","","","","","","",""
"null","<img style='width:200px; height:200px; margin-left: 95px; margin-right: 95px;' src='stim/fixation.png'>","null","html-keyboard-response","10","39930","0.0-7.0-0.1","","","","","","","","","","","","","","","","","","","","","","","",""
